accounts-qml-module 0.7-2
accountsservice 0.6.55-1
acl 2.2.53-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.34.0-1
alsa-lib 1.1.9-2
amd-ucode 20190923.417a9c6-1
aom 1.0.0.errata1-1
appstream 0.12.9-2
appstream-qt 0.12.9-2
arch-install-scripts 22-1
archlinux-appstream-data 20190925-1
archlinux-keyring 20190827-1
argon2 20190702-1
at-spi2-atk 2.34.1-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
attica 5.63.0-1
attr 2.4.48-1
audit 2.8.5-3
avahi 0.7+18+g1b5f401-2
b43-fwcutter 019-2
baloo 5.63.0-1
base 2-1
bash 5.0.011-1
bc 1.07.1-3
bind-tools 9.14.6-1
binutils 2.32-3
bluedevil 1:5.17.0-1
bluez 5.51-2
bluez-libs 5.51-2
bluez-qt 5.63.0-1
bolt 0.8-2
breeze 5.17.0-1
breeze-gtk 5.17.0-1
breeze-icons 5.63.0-1
broadcom-wl 6.30.223.271-134
brotli 1.0.7-1
btrfs-progs 5.2.2-1
bzip2 1.0.8-2
ca-certificates 20181109-1
ca-certificates-mozilla 3.46-1
ca-certificates-utils 20181109-1
cairo 1.17.2+17+g52a7c79fd-2
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
chromium 77.0.3865.120-1
clonezilla 3.27.16-2
colord 1.4.4+9+g1ce26da-1
convertlit 1.8-8
coreutils 8.31-1
cracklib 2.9.7-1
crda 4.14-2
cryptsetup 2.2.1-1
curl 7.66.0-1
darkhttpd 1.12-5
dav1d 0.4.0-1
db 5.3.28-4
dbus 1.12.16-2
dbus-glib 0.110-1
dconf 0.34.0-1
ddrescue 1.24-2
desktop-file-utils 0.24-1
device-mapper 2.02.186-2
dhclient 4.4.1-4
dhcpcd 7.2.2-1
dialog 1:1.3_20190808-1
diffutils 3.7-1
ding-libs 0.6.1-2
discount 2.2.6-1
discover 5.17.0-1
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-4
dnssec-anchors 20190629-1
dosfstools 4.1-2
double-conversion 3.1.5-1
drbl 2.25.10-1
drkonqi 5.17.0-1
e2fsprogs 1.45.4-1
ebook-tools 0.2.2-6
ecryptfs-utils 111-3
editorconfig-core-c 0.12.3-1
efibootmgr 16-1
efitools 1.9.2-1
efivar 37-1
egl-wayland 1.1.4-1
eglexternalplatform 1.0+3+g7c8f8e2-1
elinks 0.13-21
ethtool 1:5.3-1
exfat-utils 1.3.0-1
exiv2 0.27.2-1
expat 2.2.7-1
f2fs-tools 1.13.0-1
ffmpeg 1:4.2.1-2
file 5.37-2
filesystem 2019.05-2
findutils 4.7.0-1
flac 1.3.3-1
fontconfig 2:2.13.91+24+g75eadca-1
frameworkintegration 5.63.0-1
freetype2 2.10.1-1
fribidi 1.0.7-1
fsarchiver 0.8.5-1
fuse-common 3.7.0-1
fuse2 2.9.9-3
fuse3 3.7.0-1
gawk 5.0.1-1
gc 8.0.4-2
gcc-libs 9.1.0-2
gdb 8.3.1-1
gdb-common 8.3.1-1
gdbm 1.18.1-2
gdk-pixbuf2 2.40.0-1
geoip 1.6.12-1
geoip-database 20180403-1
gettext 0.20.1-2
giflib 5.2.1-1
git 2.23.0-1
glib-networking 2.62.1-1
glib2 2.62.0-1
glibc 2.29-4
glslang 7.12.3352-1
glu 9.0.1-1
gmp 6.1.2-2
gnu-netcat 0.7.1-7
gnupg 2.2.17-2
gnutls 3.6.10-1
gpgme 1.13.1-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
graphene 1.10.0-1
graphite 1:1.3.13-2
grep 3.3-1
grml-zsh-config 0.16.0-1
groff 1.22.4-1
grub 2:2.04-2
gsettings-desktop-schemas 3.34.0-1
gsm 1.0.18-1
gssproxy 0.8.2-1
gst-plugins-base 1.16.1-1
gst-plugins-base-libs 1.16.1-1
gstreamer 1.16.1-1
gtk-update-icon-cache 1:3.24.12-1
gtk3 1:3.24.12-1
guile2.0 2.0.14-3
gzip 1.10-1
harfbuzz 2.6.2-1
haveged 1.9.6-4
hdparm 9.58-2
hicolor-icon-theme 0.17-1
http-parser 2.9.2-1
hwids 20190818-1
hyphen 2.8.8-2
iana-etc 20190823-1
icu 64.2-1
inetutils 1.9.4-7
intel-ucode 20190918-1
iproute2 5.3.0-1
iptables 1:1.8.3-1
iputils 20190709-1
ipw2100-fw 1.3-9
ipw2200-fw 3.1-7
irssi 1.2.2-1
iso-codes 4.3-1
iw 5.3-1
iwd 0.21-1
jack 0.125.0-8
jansson 2.12-1
jasper 2.0.16-1
jfsutils 1.1.15-6
js60 60.9.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
kaccounts-integration 19.08.2-1
kactivities 5.63.0-1
kactivities-stats 5.63.0-1
kactivitymanagerd 5.17.0-1
karchive 5.63.0-1
kauth 5.63.0-1
kbd 2.2.0-3
kbookmarks 5.63.0-1
kcmutils 5.63.0-1
kcodecs 5.63.0-1
kcompletion 5.63.0-1
kconfig 5.63.0-1
kconfigwidgets 5.63.0-1
kcoreaddons 5.63.0-1
kcrash 5.63.0-1
kdbusaddons 5.63.0-1
kde-cli-tools 5.17.0-1
kde-gtk-config 5.17.0-1
kdeclarative 5.63.0-1
kdecoration 5.17.0-1
kded 5.63.0-1
kdelibs4support 5.63.0-1
kdeplasma-addons 5.17.0-1
kdesu 5.63.0-1
kemoticons 5.63.0-1
keyutils 1.6.1-1
kfilemetadata 5.63.0-1
kgamma5 5.17.0-1
kglobalaccel 5.63.0-1
kguiaddons 5.63.0-1
kholidays 1:5.63.0-1
khotkeys 5.17.0-1
ki18n 5.63.0-1
kiconthemes 5.63.0-1
kidletime 5.63.0-1
kinfocenter 5.17.0-1
kinit 5.63.0-1
kio 5.63.0-1
kirigami2 5.63.0-1
kitemmodels 5.63.0-1
kitemviews 5.63.0-1
kjobwidgets 5.63.0-1
kmenuedit 5.17.0-1
kmod 26-2
knetattach 5.17.0-1
knewstuff 5.63.0-1
knotifications 5.63.0-1
knotifyconfig 5.63.0-1
konsole 19.08.2-1
kpackage 5.63.0-1
kparts 5.63.0-1
kpeople 5.63.0-1
kpty 5.63.0-1
krb5 1.17-1
krunner 5.63.0-1
kscreen 5.17.0-1
kscreenlocker 5.17.0-1
kservice 5.63.0-1
ksshaskpass 5.17.0-1
ksysguard 5.17.0-1
ktexteditor 5.63.0-1
ktextwidgets 5.63.0-1
kunitconversion 5.63.0-1
kwallet 5.63.0-1
kwallet-pam 5.17.0-1
kwayland 5.63.0-1
kwayland-integration 5.17.0-1
kwidgetsaddons 5.63.0-1
kwin 5.17.0-1
kwindowsystem 5.63.0-1
kwrited 5.17.0-1
kxmlgui 5.63.0-1
l-smash 2.14.5-1
lame 3.100-2
lbzip2 2.5-4
lcms2 2.9-2
ldns 1.7.1-1
less 551-1
lftp 4.8.4-5
libaccounts-glib 1.24-1
libaccounts-qt 1.16-1
